year,scenario,scenario_label,impact_category,state_count
2020,ssp126,Low emissions,Low impact,48
2020,ssp126,Low emissions,Medium impact,2
2020,ssp245,Medium emissions,Low impact,47
2020,ssp245,Medium emissions,Medium impact,3
2020,ssp585,High emissions,Low impact,22
2020,ssp585,High emissions,Medium impact,25
2020,ssp585,High emissions,High impact,3
2030,ssp126,Low emissions,Low impact,37
2030,ssp126,Low emissions,Medium impact,12
2030,ssp126,Low emissions,High impact,1
2030,ssp245,Medium emissions,Low impact,48
2030,ssp245,Medium emissions,Medium impact,2
2030,ssp585,High emissions,Low impact,36
2030,ssp585,High emissions,Medium impact,14
2040,ssp126,Low emissions,Low impact,17
2040,ssp126,Low emissions,Medium impact,33
2040,ssp245,Medium emissions,Low impact,33
2040,ssp245,Medium emissions,Medium impact,15
2040,ssp245,Medium emissions,High impact,2
2040,ssp585,High emissions,Low impact,13
2040,ssp585,High emissions,Medium impact,34
2040,ssp585,High emissions,High impact,3
2050,ssp126,Low emissions,Low impact,10
2050,ssp126,Low emissions,Medium impact,29
2050,ssp126,Low emissions,High impact,11
2050,ssp245,Medium emissions,Low impact,22
2050,ssp245,Medium emissions,Medium impact,28
2050,ssp585,High emissions,Low impact,1
2050,ssp585,High emissions,Medium impact,6
2050,ssp585,High emissions,High impact,43
2060,ssp126,Low emissions,Low impact,44
2060,ssp126,Low emissions,Medium impact,6
2060,ssp245,Medium emissions,Low impact,18
2060,ssp245,Medium emissions,Medium impact,26
2060,ssp245,Medium emissions,High impact,6
2060,ssp585,High emissions,Low impact,1
2060,ssp585,High emissions,Medium impact,3
2060,ssp585,High emissions,High impact,46
2070,ssp126,Low emissions,Low impact,10
2070,ssp126,Low emissions,Medium impact,26
2070,ssp126,Low emissions,High impact,14
2070,ssp245,Medium emissions,Low impact,10
2070,ssp245,Medium emissions,Medium impact,27
2070,ssp245,Medium emissions,High impact,13
2070,ssp585,High emissions,Medium impact,15
2070,ssp585,High emissions,High impact,35
2080,ssp126,Low emissions,Low impact,7
2080,ssp126,Low emissions,Medium impact,29
2080,ssp126,Low emissions,High impact,14
2080,ssp245,Medium emissions,Low impact,1
2080,ssp245,Medium emissions,Medium impact,14
2080,ssp245,Medium emissions,High impact,35
2080,ssp585,High emissions,Medium impact,1
2080,ssp585,High emissions,High impact,49
2090,ssp126,Low emissions,Low impact,9
2090,ssp126,Low emissions,Medium impact,37
2090,ssp126,Low emissions,High impact,4
2090,ssp245,Medium emissions,Low impact,1
2090,ssp245,Medium emissions,Medium impact,21
2090,ssp245,Medium emissions,High impact,28
2090,ssp585,High emissions,High impact,50
2100,ssp126,Low emissions,Low impact,15
2100,ssp126,Low emissions,Medium impact,34
2100,ssp126,Low emissions,High impact,1
2100,ssp245,Medium emissions,Medium impact,8
2100,ssp245,Medium emissions,High impact,42
2100,ssp585,High emissions,High impact,50
